Timestamp,Sensor_ID,Temperature,Humidity,Vibration_Level,Material_Usage,Energy_Consumption,Worker_Count,Task_Progress,Safety_Incidents,Resource_Utilization,Risk_Score,Simulation_Accuracy,Optimization_Suggestion,Performance_Score
2023-01-01 00:00:00,SN-SITE-001,24.79,59.2,18.27,2.19,336.84,29,0.0,0,74.96,34.2,0.75,Increase Machinery Efficiency,Poor
2023-01-01 00:01:00,SN-SITE-002,28.12,62.85,10.86,1.0,295.14,26,0.0121,0,72.65,28.2,0.5,Increase Machinery Efficiency,Poor
2023-01-01 00:02:00,SN-SITE-003,25.49,65.64,9.11,13.97,336.84,32,0.0053,0,67.13,24.88,0.81,Increase Machinery Efficiency,Poor
2023-01-01 00:03:00,SN-SITE-004,27.1,54.15,6.62,13.38,299.69,31,0.0,1,42.32,28.74,0.86,Enhance Safety Measures,Poor
2023-01-01 00:04:00,SN-SITE-005,24.91,62.04,48.0,6.05,381.21,28,0.0221,1,59.59,49.97,0.56,Increase Machinery Efficiency,Poor
2023-01-01 00:05:00,SN-SITE-001,25.07,56.46,4.68,13.65,323.98,35,0.0,0,82.15,29.91,0.13,Increase Machinery Efficiency,Poor
2023-01-01 00:06:00,SN-SITE-002,26.34,57.76,34.56,5.24,350.87,25,0.0,0,89.79,43.55,0.18,Increase Machinery Efficiency,Poor
2023-01-01 00:07:00,SN-SITE-003,26.48,59.8,16.33,6.19,329.63,32,0.0353,0,73.16,25.15,0.78,Increase Machinery Efficiency,Poor
2023-01-01 00:08:00,SN-SITE-004,25.11,60.52,8.54,8.77,327.75,32,0.0259,0,68.28,31.22,0.44,Increase Machinery Efficiency,Poor
2023-01-01 00:09:00,SN-SITE-005,21.76,64.63,16.87,31.57,329.71,32,0.0489,2,67.19,49.01,0.77,Enhance Safety Measures,Poor
2023-01-01 00:10:00,SN-SITE-001,25.1,59.97,5.96,26.19,293.91,29,0.0009,0,65.3,27.95,0.41,Increase Machinery Efficiency,Poor
2023-01-01 00:11:00,SN-SITE-002,26.41,59.32,27.66,9.79,378.41,32,0.0237,0,70.04,34.28,0.34,Increase Machinery Efficiency,Poor
2023-01-01 00:12:00,SN-SITE-003,25.45,57.31,5.62,24.23,169.01,31,0.0478,0,0.0,6.5,0.38,Increase Machinery Efficiency,Poor
2023-01-01 00:13:00,SN-SITE-004,26.14,56.0,1.97,18.81,304.17,32,0.0,0,60.24,21.07,0.28,Increase Machinery Efficiency,Poor
2023-01-01 00:14:00,SN-SITE-005,25.89,55.65,32.16,13.44,222.84,30,0.025,0,0.0,15.07,0.54,Increase Machinery Efficiency,Poor
2023-01-01 00:15:00,SN-SITE-001,23.37,61.62,19.1,10.26,312.21,25,0.0723,0,86.02,33.25,0.36,Increase Machinery Efficiency,Poor
2023-01-01 00:16:00,SN-SITE-002,26.88,56.39,28.47,11.14,353.12,28,0.0115,0,68.04,35.43,0.06,Increase Machinery Efficiency,Poor
2023-01-01 00:17:00,SN-SITE-003,24.72,63.8,28.03,54.87,369.73,31,0.0197,0,53.34,28.44,0.06,Increase Machinery Efficiency,Poor
2023-01-01 00:18:00,SN-SITE-004,24.88,60.77,24.5,25.7,359.24,29,0.046,0,61.0,34.4,0.26,Increase Machinery Efficiency,Poor
2023-01-01 00:19:00,SN-SITE-005,26.55,62.65,1.52,20.42,298.13,30,0.0034,0,68.34,18.58,0.6,Increase Machinery Efficiency,Poor
2023-01-01 00:20:00,SN-SITE-001,24.6,58.21,4.75,31.6,301.3,31,0.0367,0,65.49,23.27,0.23,Increase Machinery Efficiency,Poor
2023-01-01 00:21:00,SN-SITE-002,26.12,63.19,12.26,14.12,317.95,32,0.0533,0,56.33,25.45,0.29,Increase Machinery Efficiency,Poor
2023-01-01 00:22:00,SN-SITE-003,24.48,57.57,16.68,16.73,318.94,28,0.0373,0,65.2,27.85,0.43,Increase Machinery Efficiency,Poor
2023-01-01 00:23:00,SN-SITE-004,25.52,58.53,5.71,35.64,327.43,33,0.0619,0,70.06,28.16,0.81,Increase Machinery Efficiency,Poor
2023-01-01 00:24:00,SN-SITE-005,25.28,54.11,13.48,28.15,327.89,28,0.0277,0,54.78,27.86,0.96,Increase Machinery Efficiency,Poor
2023-01-01 00:25:00,SN-SITE-001,25.18,54.27,20.72,20.95,347.29,33,0.0,0,63.53,28.33,0.71,Increase Machinery Efficiency,Poor
2023-01-01 00:26:00,SN-SITE-002,24.68,56.42,3.11,45.42,344.38,35,0.0496,0,83.52,33.14,0.78,Increase Machinery Efficiency,Poor
2023-01-01 00:27:00,SN-SITE-003,25.87,59.55,10.11,20.85,325.68,32,0.0583,0,68.09,22.77,0.75,Increase Machinery Efficiency,Poor
2023-01-01 00:28:00,SN-SITE-004,26.16,59.32,4.03,62.98,327.44,36,0.043,0,81.49,29.83,0.24,Increase Machinery Efficiency,Poor
2023-01-01 00:29:00,SN-SITE-005,27.4,60.42,9.2,26.8,140.24,26,0.0704,0,0.0,6.95,0.73,Increase Machinery Efficiency,Poor
2023-01-01 00:30:00,SN-SITE-001,25.18,58.86,6.11,27.45,300.47,29,0.1002,0,78.24,24.93,0.55,Increase Machinery Efficiency,Average
2023-01-01 00:31:00,SN-SITE-002,26.16,53.12,9.37,38.08,315.6,29,0.0546,0,64.21,30.75,0.34,Increase Machinery Efficiency,Poor
2023-01-01 00:32:00,SN-SITE-003,29.42,56.32,8.08,23.72,303.49,27,0.0605,0,65.55,24.54,0.37,Increase Machinery Efficiency,Poor
2023-01-01 00:33:00,SN-SITE-004,26.74,56.53,19.71,25.78,325.02,31,0.0856,0,61.28,27.31,0.12,Increase Machinery Efficiency,Poor
2023-01-01 00:34:00,SN-SITE-005,26.91,59.2,2.57,38.86,168.42,30,0.0567,0,0.0,7.67,0.14,Increase Machinery Efficiency,Poor
2023-01-01 00:35:00,SN-SITE-001,26.87,60.17,38.32,36.09,383.0,29,0.0986,0,69.67,34.31,0.49,Increase Machinery Efficiency,Poor
2023-01-01 00:36:00,SN-SITE-002,23.7,55.47,18.24,33.31,329.41,30,0.0627,0,75.63,30.33,0.16,Increase Machinery Efficiency,Poor
